uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1296 -1 -2 3 -4 5 -6 7 -8 9 -10 -11 12 13 14 15 -16 17 18 19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1296 -1 -2 3 -4 5 -6 7 -8 9 -10 -11 12 13 14 15 -16 17 18 19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1099 -1 -2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1296 -1 -2 3 -4 5 -6 7 -8 9 -10 -11 12 13 14 15 -16 17 18 19 20 0
uf20-0905 1296 -1 -2 3 -4 5 -6 7 -8 9 -10 -11 12 13 14 15 -16 17 18 19 20 0
uf20-0905 1296 -1 -2 3 -4 5 -6 7 -8 9 -10 -11 12 13 14 15 -16 17 18 19 20 0
uf20-0905 90 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1450 -1 -2 3 -4 5 6 -7 8 9 -10 -11 12 13 14 -15 -16 -17 18 19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1428 -1 2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 -19 20 0
uf20-0905 1099 -1 -2 3 -4 5 -6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 19 20 0
